NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
BREWTON CITY SCH DIST,ALABAMA,AL,3,97,1,8229000,596000,4955000,2678000,7656000,4206000,3146000
BULLOCK CO SCH DIST,ALABAMA,AL,3,97,1,10186000,1891000,7063000,1232000,10131000,5716000,4044000
BUTLER CO SCH DIST,ALABAMA,AL,3,97,1,22293000,3444000,14970000,3879000,21485000,11969000,8434000
CALHOUN CO SCH DIST,ALABAMA,AL,3,97,1,49943000,3608000,35795000,10540000,45267000,27534000,18714000
CHAMBERS CO SCH DIST,ALABAMA,AL,3,97,1,22193000,2450000,14764000,4979000,24126000,12941000,8801000
CHEROKEE CO SCH DIST,ALABAMA,AL,3,97,1,20434000,1656000,13686000,5092000,20660000,11192000,7919000
CHILTON CO SCH DIST,ALABAMA,AL,3,97,1,31710000,2570000,22225000,6915000,31955000,17992000,12715000
CHOCTAW CO SCH DIST,ALABAMA,AL,3,97,1,14003000,2000000,9067000,2936000,13988000,8530000,5928000
CLARKE CO SCH DIST,ALABAMA,AL,3,97,1,20576000,2703000,14276000,3597000,20866000,11879000,7959000
CLAY CO SCH DIST,ALABAMA,AL,3,97,1,13762000,964000,9680000,3118000,14308000,8525000,5909000
CLEBURNE CO SCH DIST,ALABAMA,AL,3,97,1,12413000,1131000,9033000,2249000,11586000,7287000,4958000
COFFEE CO SCH DIST,ALABAMA,AL,3,97,1,11268000,1431000,7328000,2509000,10944000,6262000,4426000
COLBERT CO SCH DIST,ALABAMA,AL,3,97,1,21049000,1554000,12838000,6657000,19987000,12513000,8250000
CONECUH CO SCH DIST,ALABAMA,AL,3,97,1,12110000,1900000,8236000,1974000,11780000,7087000,4925000
COOSA CO SCH DIST,ALABAMA,AL,3,97,1,9484000,971000,6949000,1564000,9273000,5503000,3527000
COVINGTON CO SCH DIST,ALABAMA,AL,3,97,1,17549000,2325000,11706000,3518000,16788000,9530000,6371000
