Year,State Code,State Name,Students,Total Revenue,Federal Revenue,State Revenue,Local Revenue,Total Expenditures,Salaries,Teacher Revenue
1999,LA,LOUISIANA,764642,6070.614745,696.9941489,3092.781982,2280.838615,6149.931602,3601.689418,2422.748162
1999,MA,MASSACHUSETTS,957402,8761.478459,432.1455355,3730.568768,4598.764155,9059.349155,4976.237777,3711.0733
1999,MD,MARYLAND,841671,8138.968789,441.9969323,3192.096437,4504.87542,8188.800612,4533.817846,3035.353481
1999,ME,MAINE,209822,8102.763295,401.9788201,3511.8815,4188.902975,8061.337705,4419.13622,3162.432919
1999,MI,MICHIGAN,1696275,8989.174515,600.6248987,5611.889582,2776.660034,9336.845736,4782.00056,3000.160941
1999,MN,MINNESOTA,842726,8224.643597,380.3134115,4590.267774,3254.062412,8819.583115,4598.856568,3186.641922
1999,MO,MISSOURI,911563,6844.179722,442.3226919,2604.951057,3796.905974,6832.222238,3973.763744,2702.547163
1999,MS,MISSISSIPPI,502382,5041.33707,675.4919563,2736.801876,1629.043238,5597.039703,2914.419705,2021.027823
1999,MT,MONTANA,159813,6565.667374,720.7110811,2917.647501,2927.308792,6421.548935,3765.144262,2656.360872
1999,NC,NORTH CAROLINA,1244926,6809.075399,447.5302146,4464.789875,1896.755309,6967.798086,3933.29483,2704.106108
1999,ND,NORTH DAKOTA,114546,6723.010843,803.8517277,2505.96267,3413.196445,6602.910621,3395.011611,2406.605207
1999,NE,NEBRASKA,290383,7617.883967,519.8754748,2775.038484,4322.970009,7101.744937,3766.659894,2661.502223
