NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32	Z33	V33
INTERMEDIATE UNIT 1	Pennsylvania	PA	7	14	1	53392000	20246000	7435000	25711000	58483000	25623000	13940000	-3
ALLEGHENY IU 3	Pennsylvania	PA	7	14	1	123222000	43685000	34625000	44912000	143254000	61709000	36961000	-3
MIDWESTERN IU 4	Pennsylvania	PA	7	14	1	65077000	39362000	6407000	19308000	69746000	18916000	9630000	-3
NORTHWEST TRI-COUNTY IU 5	Pennsylvania	PA	7	14	1	45980000	17637000	11176000	17167000	49889000	18592000	12148000	-3
RIVERVIEW IU 6	Pennsylvania	PA	7	14	1	22592000	7283000	8008000	7301000	26224000	10021000	6577000	-3
WESTMORELAND IU 7	Pennsylvania	PA	7	14	1	42558000	10487000	7736000	24335000	47124000	20772000	12927000	-3
APPALACHIA IU 8	Pennsylvania	PA	7	14	1	35733000	13229000	9119000	13385000	39813000	14385000	9213000	-3
SENECA HIGHLANDS IU 9	Pennsylvania	PA	7	14	1	17002000	4853000	3603000	8546000	19743000	9913000	6566000	-3
CENTRAL IU 10	Pennsylvania	PA	7	14	1	16418000	6910000	5553000	3955000	21089000	6631000	3736000	-3
TUSCARORA IU 11	Pennsylvania	PA	7	14	1	30419000	13440000	11763000	5216000	35888000	15208000	5342000	-2
LINCOLN IU 12	Pennsylvania	PA	7	14	1	112564000	24017000	26149000	62398000	131127000	54174000	36813000	-3
LANCASTER-LEBANON IU 13	Pennsylvania	PA	7	14	1	116736000	38607000	22823000	55306000	128272000	52172000	29423000	-3
BERKS COUNTY IU 14	Pennsylvania	PA	7	14	1	92399000	37215000	27702000	27482000	107241000	34714000	10663000	-3
CAPITAL AREA IU 15	Pennsylvania	PA	7	14	1	59229000	21682000	14326000	23221000	70214000	25254000	11691000	-3
CENTRAL SUSQUEHANNA IU 16	Pennsylvania	PA	7	14	1	54961000	21355000	11085000	22521000	58991000	28364000	11834000	-3
BLAST IU 17	Pennsylvania	PA	7	14	1	28029000	7761000	4616000	15652000	30772000	12272000	7381000	-3
LUZERNE IU 18	Pennsylvania	PA	7	14	1	38262000	11770000	10457000	16035000	38361000	15459000	8174000	-3
NORTHEASTERN EDUCATIONAL IU 19	Pennsylvania	PA	7	14	1	30793000	11382000	7180000	12231000	35050000	13077000	8600000	-3
