NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
Mother Lode Union Elementary,California,CA,1,15,1,10350000,709000,5429000,4212000,10575000,5406000,3676000,1088
Mt. Shasta Union Elementary,California,CA,1,15,1,5213000,466000,2344000,2403000,5286000,2907000,2020000,517
Mountain Elementary,California,CA,1,15,1,1582000,47000,485000,1050000,1973000,945000,636000,120
Mountain Empire Unified,California,CA,3,15,1,25948000,4004000,12091000,9853000,24169000,11336000,7475000,3804
Mountain House Elementary,California,CA,1,15,1,534000,35000,252000,247000,526000,235000,159000,22
Mountain View Elementary,California,CA,1,15,1,88643000,12161000,61353000,15129000,88582000,52148000,36274000,7345
Mountain View Elementary,California,CA,1,15,1,27892000,1298000,16198000,10396000,22570000,13535000,9785000,2611
Mountain View Whisman,California,CA,1,15,1,68049000,3206000,9865000,54978000,79256000,32106000,22624000,5065
Mountain View-Los Altos Union High,California,CA,2,15,1,78742000,1612000,9077000,68053000,80050000,42856000,27609000,3881
Mt. Baldy Joint Elementary,California,CA,1,15,1,1306000,60000,999000,247000,1409000,762000,559000,167
Mt. Diablo Unified,California,CA,3,15,1,364859000,31684000,164159000,169016000,369300000,187364000,123126000,31923
Mt. Pleasant Elementary,California,CA,1,15,1,85715000,23425000,51741000,10549000,92417000,16256000,11087000,2502
Mulberry Elementary,California,CA,1,15,1,935000,52000,633000,250000,885000,438000,230000,85
Mupu Elementary,California,CA,3,15,1,1769000,41000,1169000,559000,1394000,761000,556000,917
Muroc Joint Unified,California,CA,3,15,1,20719000,3714000,12442000,4563000,19514000,10422000,7126000,1936
Napa Valley Unified,California,CA,3,15,1,198077000,14722000,61403000,121952000,206876000,116275000,74234000,18610
National Elementary,California,CA,1,15,1,68194000,9720000,46421000,12053000,71384000,36121000,25295000,5829
Needles Unified,California,CA,3,15,1,13434000,1734000,7290000,4410000,13857000,5954000,3834000,835
Nevada City Elementary,California,CA,1,15,1,9958000,388000,1868000,7702000,8568000,4579000,3106000,879
Nevada Joint Union High,California,CA,2,15,1,40192000,2008000,12712000,25472000,32301000,17981000,11673000,3003
